NO.,Species Name,Family,common name,country / region of origin,multiples?,room,sub collection,notes
313,Acacia melanoxylon,Fabaceae,Blackwood Acacia,Eastern Australia,1,515,"fiber, medicinal, ethnobotanical",
390,Lemna minor,Araceae,Common Duckweed,"Africa, Asia, Europe, North America",1,513,"aquatic, agricultural (fodder)",
252,Chlorophytum comosum 'Variegatum',Asparagaceae,Varigated Spider Plant,Africa,1,hallway,"variegated, cultivar",
016a,Haworthia ryderiana,Liliaceae,,South Africa,1,515,,
224a,Bowiea volubilis,Asparagaceae,Climbing onion,"Eastern, Southern Africa",3,515,,
203,Ruscus aculeatus,Asparagaceae,Butcher's broom,Mediterranean,1,515,medicinal,
257,Ruscus hypoglossum,Asparagaceae,Spineless Butcher's Broom,Southern Europe,1,515,,
284,Asparagus officinalis,Asparagaceae,Asparagus,"Europe, Western Asia",1,,cullinary,
500,Beaucarnea recurvata,Asparagaceae,Ponytail Palm,Eastern Mexico,1,hallway,,
28,Haworthia fasciata,Xanthorrhoeaceae,Zebra haworthia,Southern Africa,3,515,,
007a,Haworthia cooperi,Xanthorrhoeaceae,no common name found,"Eastern Cape Province, South Africa",3,515,,
034a,Gasteria batesiana (?),Xanthorrhoeaceae,Ox-tongue,South Africa,3,515,,
055a,Haworthia coarctata,Xanthorrhoeaceae,Wart plant,Southern Africa,3,515,,
057a,Aloe juvenna,Xanthorrhoeaceae,Miniature aloe tiger's tooth aloe,Kenya,2,515,,
062a,Gasteria nitida var. armstrongii,Xanthorrhoeaceae,no common name found,South Africa,2,515,,
088a,Haworthia mutica,Xanthorrhoeaceae,no common name found,South Africa,2,515,,
092a,Haworthia mucronata var. morrisiae,Xanthorrhoeaceae,no common name found,South Africa,1,515,,
109a,Aloe brevifolia,Xanthorrhoeaceae,no common name found,Southern Africa,1,515,,
160b,Haworthia glauca,Xanthorrhoeaceae,no common name found,South Africa,2,515,,
467a,Nephrolepis cordifolia,Nephrolepidaceae,Tuberous Sword Fern,"South Pacific, Hawaii",2,513,cullinary (edible- ethnobatanical?),
479a,Nephrolepis exaltata,Nephrolepidaceae,Boston Sword Fern,Pantropical,2,513,,
428,Huperzia carinata,Lycopodiaceae,Firmoss / Fir Clubmoss,Southeaset Asia,3,513,,
445a,Lygodium japonicum,Lygodiaceae,Japanese Climbing Fern,"Eastern, Southeast Asia, Eastern Australia",1,513,"medicinal, fiber",
279,Galphimia glauca,Malpighiaceae,Golden Shower,"Mexica, Central America",1,513,medicinal,
424,Pseudobombax ellipticum,Malvaceae,Shaving Brush Tree,"Mexico, El Salvador, Guatemala, Honduras, Cuba",2,"511, 513","Ethnobotanical, Edible, Medicinal, Fiber",
518,Hibiscus rosa-sinensis,Malvaceae,Chinese hibiscus,East Asia,1,513,"Cullinary, Medicianl, Ethnobotanical",
542,Hibiscus schizopetalus,Malvaceae,Japanese Lantern Hibiscus,Tropical Eastern Africa,1,512,,
316,Calathea bachemiana,Marantaceae,Prayer Plant,Brazil,1,513,fiber,
318a,Calathea zebrina,Marantaceae,Zebra plant,Brazil,2,513,fiber,
464,Angiopteris evecta,Marattiaceae,Giant Fern,South Pacific Islands,1,513,cullinary (edible- ethnobatanical?),
248,Marsillea quadrifolia,Marsileaceae,Water clover,,1,513,"cullinary, medicinal",
262,Melastoma malabathricum,Melastomataceae,Malabar Melastome,"Indomalaya, Japan and Australia",1,Hallway,"cullinary, medicinal",
521,Monolena primuliflora,Melastomataceae,(ant plant),Ecuador and Peru,1,513,ant plant,
533a,Tibouchina urvilleana,Melastomataceae,Princess flower,Brazil,1,Hallway,,
104,Lithops spp. ,Aizoaceae,Living stone,,1,515,,
149,Pleiospilos magnipunctatus (Unresolved),Aizoaceae,Spotted Split Rock,South Africa,1,515,,from Wave Hill
076a,Trichodiadema stelligerum (Trichodiadema barbatum?),Aizoaceae,Bearded Crownfig,South Africa,1,515,,
314,Ficus carica,Moraceae,Common fig,"E. Mediterranean, S.W. Asia",1,513,"cullinary, ethnobotanical",
392,Ficus religiosa,Moraceae,Sacred Bo Tree,Tropical Asia,1,513,"medicinal, ethnobotanical",
452,Ficus elastica 'Doescheri',Moraceae,Varigeted Rubber Plant,South and Southeast Asia,1,Hallway,"Fiber (latex), variegated, cultivar",
451a,Ficus lyrata,Moraceae,Fiddleleaf fig,Tropical Western Africa,2,"513, Hallway",,
561a,Dorstenia contrajerva,Moraceae,Contrahierba,"Northern South America and Central America, Caribbean",multiple,513,"Medicinal, ethnobotanical",
265,Musa acuminata (Musa (AAA group) 'Dwarf Cavendish'),Musaceae,Dwarf Cavendish Banana,Southeast Asia,1 (multi),511,"cullinary, cultivar, commodity",
510,Strelitzia juncea,Strelitziaceae,Narrow Leaved Bird of Paradise,South Africa,1,513,,
531,Ravenala madagascariensis,Strelitziaceae,Traveller's Palm,Madagascar,1,513,"edible, fiber",
396a,Strelitzia alba,Strelitziaceae,White Bird of Paradise,South Africa,2,513,fiber,
321,Acca sellowiana,Myrtaceae,Pineapple Guava,Temperate South America,1,513,"cullinary, ",
502,Corymbia citriodora,Myrtaceae,Lemon Scented Gum,Northeastern Austraila,1,513,"medicinal, essential oil",
538,Callistemon rigidus,Myrtaceae,Narrow Leaved Bottlebrush,Australia,1,513,,
534a,Psidium cattleianum,Myrtaceae,Strawberry Guava,Brazil,2,513,"Cullinary, invasive (highly)",
295a,Nepenthes alata ,Nepenthaceace,Pitcher plant,The Plillipines,3,513,Carnivorous,
355,Nepenthes 'Miranda' ,Nepenthaceae,Pitcher plant,Hybrid,1,513,"Carnivorous, hybrid",Hybrid: N. maxima x N. northiana
407,Bougainvillea spp. ,Nyctaginaceae,Bougainvillea ,"Brazil, Bolivia, Peru, and Argentina",1,515,,
217,Nymphaea spp ,Nymphaeaceae,Dwarf Water Lily,,1,511,,
570,Nymphaea 'Attraction',Nymphaeaceae,Water Lily,hybrid,1,511,Hybrid,Bred (released) in 1910 by Latour-Marliac
240,Jasminum nobile,Oleaceae,Royal Jasmine,Southwest Thailand,1,513,,
264,Jasminum tortuosum,Oleaceae,Twisted Jasmine,South Africa,1,Hallway,,
522,Jasminum laurifolium var. laurifolium,Oleaceae,Angel Wing Jasmine,Himalayas to Thailand,1,513,,
368a,Fuchsia triphylla,Onagraceae,Firecracker Fuchsia,"Haiti, Dominican Republic, Caribbean",3,"511, 513",,
