NO.,Species Name,Family,common name,country / region of origin,onecountry,continent_Code,multiples?,room,sub collection,medicinal,notes
91,Espostoa lanata,Cactaceae,Peruvian old man,"Peru, Equador",Peru,SA,2,515,Fiber,FALSE,
93,Ferocactus emoryi ,Cactaceae,Traveler's Friend,"Southern Arizona, Mexico",Southern Arizona,NA,1,515,"Culinary, Ethnobotanical, Medicinal",TRUE,
129,Mammillaria plumosa,Cactaceae,Feather cactus,Northeastern Mexico,Northeastern Mexico,NA,1,515,,FALSE,
148,Marginatocereus marginatus,Cactaceae,Fence Post Cactus,Central Mexico,Central Mexico,NA,1,515,,FALSE,
167,Lophocereus schottii ,Cactaceae,Totem Cactus,"Baha CA, Arizona",Baha CA,NA,1,515,,FALSE,
170,Schlumbergera truncata,Cactaceae,Thanksgiving cactus,Brazil,Brazil,SA,1,513,,FALSE,Possibly Cultivar
184,Cereus repandus,Cactaceae,Peruvean Apple Cactus,South America,South America,SA,1,515,"Culinary, Ethnobotanical, Fiber",FALSE,
*,Pereskia grandifolia,Cactaceae,Rose Cactus,Brazil,Brazil,SA,1,515,,FALSE,
102a,Carnegiea gigantea,Cactaceae,Giant saguaro,"Arizona, California, USA; Sonora, Mexico",Arizona,NA,3,515,"Culinary, Fiber, Ethnobotanical",FALSE,
103(+139),Mammillaria elongata,Cactaceae,Golden stars,Mexico,Mexico,NA,4,515,,FALSE,
106a,Disocactus flagelliformis,Cactaceae,Rat tail cactus,Mexico,Mexico,NA,1,515,,FALSE,
113a,Cleistocactus straussii,Cactaceae,Silver torch,Bolivia and Argentina,Bolivia and Argentina,SA,2,515,,FALSE,
151a,Ferocactus wislizeni,Cactaceae,Fish hook barrel cactus,"Southwest US, Northwest Mexico",Southwest US,NA,4,515,,FALSE,from Wave Hill
199a,Rhipsalis teres ,Cactaceae,Rounded Mistletoe Cactus,Brazil,Brazil,SA,2,513,,FALSE,
293a,Schlumbergera truncata var. delicata ,Cactaceae,False Christmas Cactus,Brazil,Brazil,SA,5,513,,FALSE,Possibly Cultivar
300a,Disocactus _ hybridus,Cactaceae,Orchid cactus,Hybrid,Hybrid,,2,513,Hybrid,FALSE,Cross between Disocactus phyllanthoides and Disocactus speciosus
334a,Hatiora salicornioides,Cactaceae,Drunkard's dream,Brazil,Brazil,SA,2,515,,FALSE,
459a,Epiphyllum oxypetalum,Cactaceae,Queen of the night,Southern Mexico through South America,Southern Mexico through South America,SA,2,513,,FALSE,
494,Canna indica (?),Cannaceae,Indian Shot,Tropical Americas,Tropical Americas,SA,2 (?),513,"Culinary, Ethnobotanical, Medicinal, Fiber",TRUE,
530a,Canna x generalis striatus ,Cannaceae,Bengal tiger,Hybrid (Tropical Americas),Hybrid (Tropical Americas),SA,1,"513, hall",Hybrid,FALSE,Generalis' base is a cross between Canna glauca _ Canna indica _ Canna iridiflora
529,Chloranthus spicatus ,Chloranthaceae,Pearl Orchid ,"Southern China, Thailand",Southern China,AS,1,513,"Culinary, Fragrance, Medicinal",TRUE,
327,Combretum indicum,Combretaceae,Rangoon creeper,"Philippines, India, Malaysia",Philippines,AS,1,513,Medicinal,TRUE,
270,Dichorisandra thyrsiflora 'variegata' ,Commelinaceae,Variegated Blue ginger,Tropical Americas,Tropical Americas,SA,1,513,Cultivar,FALSE,
024a,Callisia navicularis,Commelinaceae,Chain Plant,Mexico,Mexico,NA,2,515,,FALSE,
560a,Tradescantia pallida,Commelinaceae,Purple heart,Eastern Mexico,Eastern Mexico,NA,3,"513, Hallway",,FALSE,
168,Ipomea albivenia (?),Convolvulaceae,Wild Cotton,"South Africa, Mozambique and Zimbabwe",South Africa,AF,1,515,"Culinary, Medicinal",TRUE,
084a,Evolvulus glomeratus,Convolvulaceae,Brazilian dwarf morning-glory,Brazil and Paraguay,Brazil and Paraguay,SA,2,511,,FALSE,
17,Sedum pachyphyllum,Crassulaceae,Jellybeans,"Oaxaca, Mexico",Oaxaca,NA,1,515,,FALSE,
29,"Sedum dasyphyllum (maybe 2 plants, w/154; might have been switched too)",Crassulaceae,Corsican stonecrop or thick-leaved stonecrop,Mediterranean,Mediterranean,EU,maybe 2,515,,FALSE,
54,Echeveria spp,Crassulaceae,,,0,#N/A,1,515,,FALSE,
60,Crassula x deceptrix ,Crassulaceae,Dwarf Chain Propeller Plant,Hybrid (South Africa),Hybrid (South Africa),AF,1,515,Hybrid,FALSE,Cross of: Crassula deceptor x C. perfoliata var. falcata
77,Echeveria sp (mislabeled),Crassulaceae,,,0,#N/A,2,515,,FALSE,
96,Crassula ovata ,Crassulaceae,Jade plant,South Africa,South Africa,AF,2,515,,FALSE,
126,Aeonium haworthii,Crassulaceae,Pinwheel,Canary Islands,Canary Islands,NA,1,515,,FALSE,
008a,Kalanchoe tomentosa,Crassulaceae,Panda plant,Madagascar,Madagascar,AF,5,515,,FALSE,
021 c,Crassula x imperialis ,Crassulaceae,Giant's watch chain,Hybrid (S.Africa),Hybrid (S.Africa),AF,3,515,Hybrid,FALSE,Cross between : Crassula muscosa x C. pyramidalis
025a,Pachyphytum 'Dr. Cornelius',Crassulaceae,Moonstones,Hybrid (Mexico),Hybrid (Mexico),NA,1,515,Hybrid,FALSE,Suspected Cross of : Pachyphytum glutinicaule x Echeveria sp
026a,Kalanchoe x 'Fernleaf' ,Crassulaceae,Fernleaf felt bush,Hybrid (Madagascar),Hybrid (Madagascar),AF,3,515,Hybrid ,FALSE,Suspected cross between:  Kalanchoe beharensis x K. millotii 
037a,Crassula ovata cv. 'Gollum',Crassulaceae,Gollum Jade,South Africa,South Africa,AF,4,515,Cultivar,FALSE,Monstrose form of C. ovata
040a,Crassula perfoliata var. falcata,Crassulaceae,Propeller Plant,South Africa,South Africa,AF,3,515,,FALSE,
046a,Aeonium arboreum  'Zwartkop',Crassulaceae,Black tree aeonium,Canary Islands,Canary Islands,NA,1,515,Cultivar,FALSE,
051a,Crassula ovata (Small Leaves),Crassulaceae,Jade plant,South Africa,South Africa,AF,2,515,,FALSE,
053a,Sedum rubrotinctum,Crassulaceae,Christmas cheer,Mexico,Mexico,NA,3,515,,FALSE,
095a,Sedum morganianum,Crassulaceae,Donkey Tail,"Southern Mexico, Honduras",Southern Mexico,NA,4,515,,FALSE,
111a,Echeveria multicaulis ,Crassulaceae,Copper rose,Mexico,Mexico,NA,1,515,,FALSE,
115 a,Bryophyllum delagoense,Crassulaceae,Mother of Thousands,Madagascar,Madagascar,AF,1,515,,FALSE,
121a,Graptopetalum paraguayense,Crassulaceae,Ghost plant,Mexico,Mexico,NA,5,515,,FALSE,
125a,Echeveria pulvinata,Crassulaceae,Chenile plant,Mexico : Oaxaca,Mexico : Oaxaca,NA,2,515,,FALSE,
128a,Crassula rupestris subsp. marnieriana ,Crassulaceae,Jade necklace,South Africa,South Africa,AF,1,515,,FALSE,
154a,Sedum spp (could be dasyphyllum / 29),Crassulaceae,,,0,#N/A,1,515,,FALSE,
177a,Crassula muscosa,Crassulaceae,Watch Chain,South Africa,South Africa,AF,2,515,,FALSE,
238,Cyperus alternifolius,Cyperaceae,Umbrella plant,Madagascar,Madagascar,AF,4,513,"Marginal, Aquatic",FALSE,
239a,Cyperus prolifer,Cyperaceae,Dwarf papyrus,Africa,Africa,AF,1,513,"Marginal, Aquatic",FALSE,
19,Alluaudia procera,Didiereaceae ,Madagascar Ocotillo,S. Madagascar,S. Madagascar,AF,1,515,Spiny Forest,FALSE,from prof. Hertz 
266,Dioscorea mexicana,Dioscoreaceae,Turtle plant,Mexico,Mexico,NA,2,515,Caudiciform; Vine,FALSE,
296,Drosera capensis,Droseraceae,Cape sundew,South Africa,South Africa,AF,Multiple,513,Carniverous,FALSE,
301,Dionaea muscipula,Droseraceae,Venus fly trap,"N. and S. Carolina, USA",N. and S. Carolina,NA,Multiple,513,Carniverous,FALSE,
81,Ephedra viridis,Ephedraceae,Mormon tea,Southwestern United states,Southwestern United states,NA,1,515,"Ethnobotanical, Medicinal",TRUE,
82,Ephedra nevadensis,Ephedraceae,Nevada tea,Southwestern United states,Southwestern United states,NA,1,515,"Ethnobotanical, Medicinal",TRUE,
486,Equisetum hyemale,Equisetaceae,Scouring Rush,"Holartic Kingdom (North America, Europe, and northern Asia.)",Holartic Kingdom (North America,NA,2,515,Marginal; Aquatic,FALSE,Kept in tank
144,Euphorbia aeruginosa,Euphorbiaceae,Miniature saguaro,South Africa,South Africa,AF,1,515,,FALSE,
152,Euphorbia obesa,Euphorbiaceae,Baseball plant,"Cape Provence, South Africa",Cape Provence,AF,1,515,,FALSE,
180,Euphorbia barnardii,Euphorbiaceae,Mokgwakgwatha,"Limpoo Provence, Africa",Limpoo Provence,AF,1,515,,FALSE,
194,Euphorbia trigona,Euphorbiaceae,African milk tree,Gabon,Gabon,AF,1,515,,FALSE,
